ID,Name,Source,Source Type,Description,VC Workflows,VC Tasks,Skill Type,Installation,Official,Verified,Tags,Notes,VC Relevance,Requires Integration,Knowledge Category,Download Status
skill-001,Deep Research Skill,github.com/standardhuman/deep-research-skill,github,"7-phase multi-agent research system with parallel queries, multi-source verification, and hypothesis-driven investigation. Produces decision-grade, auditable outputs that resist hallucination.","deal_sourcing, due_diligence","thematic_research, market_sizing, competitive_analysis, management_research",skill,,No,Yes,"research, multi-agent, parallel, verification",Has financial domain overlay for SEC filings. Classifies research as Type A-D based on complexity.,3,No,market_research,
skill-002,PitchBook Connector,claude.com/connectors/pitchbook,anthropic_connector,"Official PitchBook MCP connector providing access to 8.5M+ private companies, 2.8M deals, 597K investors, and 154K funds. Enables searching and analyzing firms, deals, funds, and key players.","deal_sourcing, due_diligence, portfolio_support","company_identification, competitive_landscape, market_mapping, financial_analysis",connector,,Yes,Yes,"pitchbook, private_markets, deals, investors, funds",Read-only access. Requires active PitchBook subscription.,5,Yes,,
skill-003,S&P Capital IQ Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,"Access S&P Capital IQ data for comprehensive financial analysis, company profiles, and market intelligence.","deal_sourcing, due_diligence","financial_analysis, company_identification, market_sizing",connector,,Yes,Yes,"capitaliq, sp, financials, markets",Accessed via Claude integrations settings,4,Yes,,
skill-004,Daloopa Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,Access Daloopa's financial data extraction and modeling capabilities for automated financial statement analysis.,due_diligence,"financial_analysis, document_review",connector,,Yes,Yes,"daloopa, financial_modeling, extraction",Accessed via Claude integrations settings,4,Yes,,
skill-005,Morningstar Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,"Access Morningstar investment research, ratings, and analysis for public companies and funds.","due_diligence, portfolio_support","financial_analysis, competitive_analysis",connector,,Yes,Yes,"morningstar, research, ratings, funds",Accessed via Claude integrations settings,4,Yes,,
skill-006,Aiera Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,Real-time earnings call transcripts and investor event summaries for public companies.,"due_diligence, portfolio_support","management_research, competitive_analysis, trend_analysis",connector,,Yes,Yes,"aiera, earnings, transcripts, events",Accessed via Claude integrations settings,4,Yes,,
skill-007,Third Bridge Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,Expert interviews and industry intelligence with insights from domain experts across sectors.,"deal_sourcing, due_diligence","thematic_research, management_research, market_sizing",connector,,Yes,Yes,"third_bridge, expert_network, interviews, intelligence",Accessed via Claude integrations settings,5,Yes,,
skill-008,Chronograph Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,Portfolio monitoring and due diligence for private equity with operational and financial performance metrics.,"portfolio_support, due_diligence","kpi_tracking, financial_analysis",connector,,Yes,Yes,"chronograph, portfolio, monitoring, pe",Accessed via Claude integrations settings,5,Yes,,
skill-009,Egnyte Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,"Secure document search and access control for data rooms, investment documents, and financial models.","due_diligence, fund_operations","document_review, data_room_analysis",connector,,Yes,Yes,"egnyte, documents, data_room, security",Accessed via Claude integrations settings,4,Yes,,
skill-010,LSEG Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,"Live market data from London Stock Exchange Group including fixed income, equities, FX rates, and macro indicators.","due_diligence, portfolio_support","financial_analysis, market_sizing",connector,,Yes,Yes,"lseg, refinitiv, market_data, equities, fx",Accessed via Claude integrations settings,4,Yes,,
skill-011,Moody's Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,"Credit ratings, research, and company data on 600M+ public and private companies for credit analysis.",due_diligence,"financial_analysis, competitive_analysis",connector,,Yes,Yes,"moodys, credit, ratings, research",Accessed via Claude integrations settings,4,Yes,,
skill-012,MT Newswires Connector,anthropic.com/news/advancing-claude-for-financial-services,anthropic_connector,Global multi-asset class news on financial markets and economies for real-time market intelligence.,"deal_sourcing, portfolio_support","trend_analysis, competitor_monitoring",connector,,Yes,Yes,"news, markets, realtime",Accessed via Claude integrations settings,4,Yes,,
skill-013,Financial Datasets MCP Server,github.com/financial-datasets/mcp-server,github,"Stock market API for AI agents providing financial statements, pricing, SEC filings, and market news.",due_diligence,"financial_analysis, competitive_analysis",mcp_server,,No,Yes,"stocks, sec, financials, api",Free tier available. Good for public company analysis.,3,Yes,,
skill-014,Alpha Vantage MCP Server,mcp.alphavantage.co,mcp_registry,"100+ APIs for financial market data including stocks, ETFs, options, forex, crypto, commodities, fundamentals, and technical indicators.","due_diligence, portfolio_support","financial_analysis, market_sizing, trend_analysis",mcp_server,,Yes,Yes,"alphavantage, stocks, forex, crypto, indicators",One of the most comprehensive financial data MCP servers.,3,Yes,,
skill-015,SEC EDGAR MCP Server,github.com/stefanoamorelli/sec-edgar-mcp,github,"Direct access to SEC EDGAR for company filings, financial statements, and insider trading data with exact numeric precision.",due_diligence,"financial_analysis, document_review, legal_research",mcp_server,,No,Yes,"sec, edgar, filings, 10k, 10q",Excellent for detailed SEC filing analysis.,3,Yes,,
skill-016,Financial Modeling Prep MCP Server,github.com/imbenrabi/Financial-Modeling-Prep-MCP-Server,github,"Access financial data from FMP API including company profiles, financial statements, metrics, SEC filings, and market data.",due_diligence,"financial_analysis, competitive_analysis",mcp_server,,No,Yes,"fmp, financials, dcf, valuation",Good for DCF modeling and valuation metrics.,4,Yes,,
skill-017,Lambda Capture MCP Server,mcpservers.org,mcp_registry,"Macroeconomic forecasts and semantic context from Fed, BoE, ECB for macro analysis.","deal_sourcing, portfolio_support","trend_analysis, market_sizing",mcp_server,,No,Yes,"macro, economics, fed, central_banks",Useful for macro trend analysis affecting portfolios.,2,Yes,,
skill-018,Alpaca MCP Server,github.com/modelcontextprotocol/servers,github,"Trade stocks and options, analyze market data via Alpaca APIs.",portfolio_support,trend_analysis,mcp_server,,Yes,Yes,"alpaca, trading, stocks, options",More relevant for liquid portfolio monitoring.,2,Yes,,
skill-019,Explorium AgentSource MCP Server,glama.ai/mcp/servers/@explorium-ai/mcp-explorium,glama,"20+ specialized endpoints for prospecting, sales, and lead generation with account and prospect enrichment.","deal_sourcing, fund_operations","lead_generation, company_identification, lp_prospecting",mcp_server,,Yes,Yes,"explorium, prospecting, enrichment, leads",Strong for deal sourcing and LP prospecting.,3,Yes,,
skill-020,CB Insights MCP Server,github.com/modelcontextprotocol/servers,github,Connect to ChatCBI via CB Insights for market intelligence and company analysis.,"deal_sourcing, due_diligence","thematic_research, competitive_landscape, trend_analysis",mcp_server,,Yes,Yes,"cbinsights, market_intelligence, trends",Excellent for emerging tech trend analysis.,3,Yes,,
skill-021,Apify MCP Server,github.com/apify/actors-mcp-server,github,"Access 6,000+ pre-built cloud tools to extract data from websites including e-commerce, social media, and maps.","deal_sourcing, due_diligence, data_infrastructure","web_scraping, company_data_enrichment, competitive_analysis",mcp_server,,Yes,Yes,"apify, scraping, actors, data_extraction","Most comprehensive web scraping platform. Has specific actors for LinkedIn, Crunchbase alternatives, etc.",3,Yes,,
skill-022,Bright Data MCP Server,github.com/brightdata/brightdata-mcp,github,"Discover, extract, and interact with the web through automated access across the public internet.","deal_sourcing, data_infrastructure","web_scraping, company_data_enrichment",mcp_server,,Yes,Yes,"brightdata, proxy, scraping, web_data",Enterprise-grade web data platform.,2,Yes,,
skill-023,Firecrawl MCP Server,github.com/firecrawl/firecrawl-mcp-server,github,Advanced web scraping capabilities for extracting structured data from complex websites.,"deal_sourcing, due_diligence, data_infrastructure","web_scraping, document_review",mcp_server,,Yes,Yes,"firecrawl, scraping, structured_data",Good for clean extraction from dynamic websites.,3,Yes,,
skill-024,Browserbase MCP Server,github.com/browserbase/mcp-server-browserbase,github,"Automate browser interactions in the cloud for web navigation, data extraction, and form filling.","data_infrastructure, automation","web_scraping, research_automation",mcp_server,,Yes,Yes,"browserbase, browser, automation, cloud",Cloud-based browser automation.,1,Yes,,
skill-025,Playwright MCP Server,github.com/microsoft/playwright-mcp,github,"Web browser control for navigating websites, capturing page snapshots, and interacting with elements.","data_infrastructure, automation","web_scraping, research_automation",mcp_server,,Yes,Yes,"playwright, browser, automation, microsoft",Industry standard browser automation.,1,Yes,,
skill-026,Skrape MCP Server,glama.ai/mcp/servers/@skrapeai/skrape-mcp,glama,"Transforms webpages into clean, structured Markdown optimized for language model consumption.",data_infrastructure,"web_scraping, document_review",mcp_server,,No,Yes,"skrape, markdown, web_content",Good for content extraction and summarization.,2,Yes,,
skill-027,AgentQL MCP Server,github.com/modelcontextprotocol/servers,github,Enable AI agents to get structured data from unstructured web pages.,data_infrastructure,"web_scraping, company_data_enrichment",mcp_server,,No,Yes,"agentql, structured_data, extraction",Good for converting unstructured web data to structured formats.,1,Yes,,
skill-028,PostgreSQL MCP Server (Anthropic),github.com/modelcontextprotocol/servers,github,Access and analyze Postgres databases with read-only queries for secure database exploration.,"data_infrastructure, portfolio_support","database_queries, kpi_tracking",mcp_server,,Yes,Yes,"postgres, sql, database, readonly",Safe read-only database access.,1,Yes,,
skill-029,PostgreSQL MCP Server (Crystal DBA),pulsemcp.com,pulsemcp,Comprehensive PostgreSQL tools for writing SQL and tuning performance safely throughout development.,data_infrastructure,database_queries,mcp_server,,No,Yes,"postgres, sql, optimization",More advanced SQL capabilities than reference implementation.,1,Yes,,
skill-030,MongoDB MCP Server,github.com/mongodb-labs/mongodb-mcp-server,github,Bridge between MongoDB databases and conversational interfaces for comprehensive database management.,data_infrastructure,database_queries,mcp_server,,Yes,Yes,"mongodb, nosql, database",Good for unstructured company data storage.,1,Yes,,
